County_FIPS,D,I,R
36075.0,35.38,2.985,58.63
36077.0,40.32,3.155,53.35
36079.0,39.29,1.785,57.12
36081.0,75.49,1.195,22.09
36083.0,45.51,3.04,48.38
36087.0,51.19,1.345,46.1
36089.0,41.69,2.905,52.48
36091.0,44.71,3.095,49.08
36093.0,50.09,2.825,44.24
36095.0,29.8,2.845,64.49
36097.0,32.77,2.86,61.48
36099.0,40.66,3.265,52.79
36101.0,29.22,2.69,65.38
36103.0,44.26,1.62,52.48
36105.0,41.43,1.695,55.17
36107.0,33.33,2.855,60.94
36109.0,67.7,3.365,25.55
36111.0,51.87,2.695,42.73
36113.0,41.22,3.475,51.81
36115.0,36.77,3.105,57.0
36117.0,33.82,3.12,59.93
36119.0,64.9,1.47,32.13
36121.0,22.02,2.49,72.99
36123.0,35.86,3.205,57.71
37001.0,42.25,2.54,55.2
37003.0,20.82,2.41,76.76
37005.0,24.93,2.39,72.66
37007.0,55.65,1.24,43.1
37009.0,26.41,2.51,71.07
37011.0,20.71,2.03,77.24
37013.0,36.86,1.78,61.35
37015.0,62.22,0.71,37.05
37017.0,44.59,1.34,54.06
37019.0,34.37,2.52,63.1
37021.0,55.71,3.14,41.14
37023.0,29.03,2.56,68.39
37025.0,38.51,2.99,58.48
37027.0,23.5,2.36,74.12
37029.0,25.63,2.95,71.41
37031.0,26.56,2.39,71.04
37033.0,43.26,1.97,54.75
37035.0,29.62,2.74,67.63
37037.0,53.61,2.85,43.53
37039.0,20.26,2.45,77.27
37041.0,41.71,2.25,56.03
37043.0,22.97,2.34,74.68
37045.0,33.74,1.91,64.33
37047.0,38.3,1.29,60.39
37049.0,37.81,2.58,59.6
37051.0,56.68,2.64,40.66
37053.0,23.17,3.81,73.0
37055.0,37.24,3.4,59.35
37057.0,24.06,2.52,73.41
37059.0,24.48,2.9,72.6
37061.0,39.78,1.23,58.98
37063.0,78.9,2.57,18.51
37065.0,65.51,1.14,33.33
37067.0,53.61,3.03,43.35
37069.0,42.84,2.57,54.57
37071.0,32.65,2.55,64.78
37073.0,44.5,1.98,53.5
37075.0,18.58,1.78,79.62
37077.0,47.64,2.2,50.14
37079.0,44.55,1.06,54.38
37081.0,58.68,2.64,38.66
37083.0,62.86,1.14,35.98
37085.0,36.59,2.72,60.67
37087.0,34.53,2.97,62.48
37089.0,34.61,2.83,62.55
37091.0,68.17,1.31,30.5
37093.0,53.83,3.15,43.01
37095.0,42.05,1.84,56.09
37097.0,30.27,2.62,67.09
37099.0,42.01,4.07,53.91
37101.0,33.29,2.74,63.96
37103.0,40.5,1.13,58.36
37105.0,42.06,2.71,55.21
37107.0,46.08,1.54,52.36
37109.0,24.93,2.43,72.63
