County_FIPS,total_pop,pct_male,pct_female,pct_old,pct_latino,pct_white,pct_black
20185,4363,50.4,49.6,23.6,12.9,84.4,0.9
20187,2187,47.4,52.6,18.6,36.4,59.7,1.0
20189,5744,49.9,50.1,15.2,33.3,64.1,0.4
20191,23763,49.5,50.5,19.5,5.0,90.7,0.2
20193,7947,48.9,51.1,19.1,5.0,92.1,1.5
20195,2959,49.5,50.5,26.1,1.5,96.0,0.3
20197,7034,50.3,49.7,20.2,3.1,94.0,0.6
20199,1569,51.4,48.6,23.5,4.0,95.6,0.1
20201,5717,50.4,49.6,27.0,2.9,95.1,0.6
20203,2220,52.7,47.3,19.5,25.0,73.6,0.0
20205,9177,49.9,50.1,23.4,2.6,93.3,0.1
20207,3246,50.0,50.0,26.5,2.4,94.4,0.6
20209,159466,49.3,50.7,13.8,26.8,42.9,24.5
21001,19032,49.7,50.3,20.0,1.8,93.6,2.7
21003,20219,49.0,51.0,18.9,1.7,95.8,1.9
21005,21664,48.7,51.3,16.6,1.5,94.6,2.4
21007,8274,50.0,50.0,22.5,1.2,93.6,3.5
21009,42691,48.4,51.6,19.8,2.8,91.1,4.2
21011,11870,50.0,50.0,18.9,1.4,95.8,1.9
21013,28234,48.3,51.7,20.4,0.4,94.7,2.6
21015,123030,49.4,50.6,13.7,3.8,89.1,3.0
21017,19972,49.5,50.5,20.4,6.8,85.2,7.2
21019,49242,49.4,50.6,21.1,1.5,93.6,2.6
21021,29150,49.5,50.5,21.4,3.0,86.6,6.9
21023,8459,50.0,50.0,18.4,1.4,98.4,0.0
21025,13663,50.3,49.7,18.7,0.5,97.5,0.5
21027,20076,49.6,50.4,20.1,1.1,94.9,2.5
21029,76093,49.6,50.4,16.2,1.6,95.5,0.6
21031,12797,49.7,50.3,19.5,3.3,95.6,0.6
21033,12880,48.4,51.6,21.9,1.3,91.6,6.0
21035,37981,48.2,51.8,18.6,2.5,89.9,3.8
21037,91268,49.1,50.9,16.6,1.8,92.6,3.0
21039,5031,47.9,52.1,22.9,2.1,95.0,1.4
21041,10871,51.4,48.6,19.5,6.9,88.9,1.7
21043,27439,49.2,50.8,19.6,0.5,96.9,0.8
21045,16002,49.4,50.6,21.1,2.7,95.5,1.1
21047,74459,52.0,48.0,12.9,6.9,67.7,19.4
21049,35633,48.9,51.1,19.4,2.7,90.6,5.2
21051,21446,53.7,46.3,15.9,1.4,92.7,4.6
21053,10192,49.6,50.4,22.1,2.6,96.1,0.7
21055,9254,50.1,49.9,23.1,0.7,96.9,0.9
21057,6829,49.3,50.7,22.2,0.3,94.8,3.4
21059,97631,48.4,51.6,18.6,2.7,89.6,4.6
21061,12137,50.0,50.0,21.2,1.7,96.0,1.4
21063,7781,56.2,43.8,19.6,0.5,96.3,3.1
21065,14547,49.2,50.8,20.7,0.0,98.0,0.5
21067,304473,49.1,50.9,14.2,6.8,72.6,14.2
21069,14505,48.8,51.2,18.6,1.2,96.3,1.6
21071,39087,49.4,50.6,19.2,0.7,97.5,0.9
21073,49509,48.5,51.5,18.9,2.9,82.6,10.4
21075,6550,49.6,50.4,22.9,1.3,71.8,24.4
21077,8554,49.8,50.2,16.8,2.1,92.0,1.5
21079,16880,49.1,50.9,18.9,2.4,94.3,1.5
21081,24667,49.7,50.3,14.8,2.4,94.5,0.2
21083,37451,48.5,51.5,19.7,5.9,87.3,4.6
21085,25934,49.6,50.4,19.2,1.2,96.1,0.9
21087,11186,48.8,51.2,23.6,0.5,94.8,3.0
21089,36656,48.3,51.7,22.1,1.0,96.5,0.7
21091,8654,51.2,48.8,19.2,1.3,96.1,1.0
21093,107565,49.8,50.2,14.2,5.5,76.7,11.9
21095,28744,49.0,51.0,19.2,0.8,95.4,2.2
21097,18643,49.0,51.0,19.5,1.9,94.2,2.1
21099,18427,49.4,50.6,18.9,1.6,92.1,4.8
21101,46394,48.4,51.6,19.0,2.1,87.2,7.1
21103,15427,49.5,50.5,18.8,3.2,92.0,3.3
21105,4790,47.8,52.2,24.8,0.8,87.6,9.6
21107,46684,48.4,51.6,19.9,1.7,89.1,6.1
21109,13370,49.6,50.4,18.2,0.6,98.3,0.0
21111,751485,48.2,51.8,17.4,4.6,69.9,20.4
21113,49601,49.0,51.0,15.3,2.8,90.9,3.1
21115,23390,49.2,50.8,19.3,0.6,97.8,0.3
21117,161915,49.3,50.7,15.2,2.8,89.4,4.6
21119,16139,49.6,50.4,17.7,0.7,97.6,0.9
21121,31857,48.7,51.3,19.3,1.0,96.3,1.6
21123,14149,49.6,50.4,19.1,3.0,92.0,3.4
21125,59535,48.9,51.1,17.1,1.3,96.0,0.9
21127,15850,49.7,50.3,17.7,0.3,97.9,0.1
21129,7681,54.8,45.2,19.5,1.0,95.5,1.3
21131,11128,48.3,51.7,18.2,0.9,98.3,0.2
21133,23965,49.2,50.8,19.5,0.6,98.1,0.6
21135,13848,50.1,49.9,19.9,0.6,98.2,0.1
21137,24546,48.3,51.7,19.9,1.5,94.5,2.5
21139,9443,49.2,50.8,23.0,1.4,96.5,0.3
21141,26844,49.6,50.4,19.5,2.6,88.8,6.6
21143,8415,54.7,45.3,26.6,0.8,91.6,6.3
21145,65545,48.0,52.0,21.1,2.2,83.8,10.8
21147,18073,54.3,45.7,16.5,1.6,91.6,5.5
21149,9510,49.5,50.5,21.4,1.3,96.6,0.5
21151,85485,48.6,51.4,15.0,2.2,90.2,4.4
21153,13076,49.9,50.1,16.7,0.9,98.1,0.0
21155,19965,51.6,48.4,18.0,2.5,87.0,9.5
21157,31223,49.2,50.8,24.7,1.2,97.2,0.3
21159,12750,55.5,44.5,15.3,2.1,92.7,4.2
21161,17398,48.7,51.3,19.0,0.4,89.6,6.7
21163,29203,50.1,49.9,14.0,3.7,89.3,4.1
21165,6337,51.0,49.0,19.7,1.9,96.2,0.5
21167,21311,49.2,50.8,21.2,2.4,91.7,3.9
21169,10025,49.7,50.3,21.2,1.4,94.6,1.0
21171,10837,50.2,49.8,21.6,2.9,93.8,2.1
21173,26983,48.8,51.2,17.2,2.6,93.2,3.0
21175,13522,56.0,44.0,18.6,0.9,93.8,3.1
21177,31391,50.7,49.3,21.2,1.3,92.5,4.5
21179,44254,49.4,50.6,15.4,2.0,90.9,5.1
21181,7064,49.6,50.4,20.9,0.3,99.3,0.4
21183,23956,49.7,50.3,19.8,3.5,94.5,1.2
21185,61711,52.5,47.5,14.3,3.6,89.0,4.2
21187,10740,48.9,51.1,19.8,2.4,95.5,1.6
21189,4686,48.0,52.0,21.6,0.7,95.8,0.8
21191,14642,49.8,50.2,17.3,1.1,97.3,0.5
21193,28261,48.7,51.3,17.7,0.2,95.9,1.2
21195,64380,49.0,51.0,19.4,0.8,97.2,0.9
21197,12552,49.4,50.6,17.0,1.2,97.0,0.2
21199,63505,48.8,51.2,20.7,2.3,94.6,1.0
21201,2239,48.9,51.1,25.0,0.0,99.2,0.0
21203,16965,49.3,50.7,20.4,0.4,97.8,0.1
21205,23485,48.2,51.8,15.6,0.7,94.7,1.7
21207,17646,49.2,50.8,22.7,3.5,94.5,0.5
21209,49167,49.1,50.9,13.1,4.2,87.4,5.2
21211,43581,48.3,51.7,16.9,8.9,80.7,7.2
21213,17551,48.4,51.6,18.4,1.9,85.7,9.6
