County_FIPS,pct_no_hs,pct_some_hs,pct_hs,pct_some_college,pct_associates,pct_bachelors,pct_graduate,pct_hs_less
1001,2.88298163881,8.37215675528,34.7793916141,19.9835571389,6.89778021376,14.398465333,12.6856673061,46.0345300082
1003,2.15322322559,7.04337057702,31.7062989606,20.8713075178,8.72768509371,20.9847082887,8.51340633653,40.9028927632
1005,9.85502524841,19.6394635391,38.6599337569,13.9436390292,6.84150513113,7.24330781343,3.81712548189,68.1544225444
1007,6.66145222266,14.4309737974,46.7018641637,17.2728457828,4.87550514926,5.69026202581,4.3670968583,67.7942901838
1009,5.08623503126,13.275424899,32.3927396882,21.971731981,11.7239474807,10.7222654583,4.82765546155,50.7543996184
1013,9.20775882215,10.7034353821,41.4115447534,15.5254342915,10.8358650775,6.26314559477,6.05281607852,61.3227389577
1015,6.84552285455,11.1510837256,30.0789671757,26.9878934007,7.63647033309,9.67634939467,7.6237131157,48.0755737559
1017,4.00888964869,13.2618172493,40.9052055731,24.4679032396,8.39815368835,5.10727412599,3.85075647491,58.1759124712
1019,8.17201666258,14.3469737809,40.1617250674,20.3504043127,6.36486155354,6.05856407743,4.54545454545,62.6807155109
1021,8.0370942813,8.73432938348,44.4959642796,17.235102181,6.49493388288,9.54834277864,5.45423321312,61.2673879444
1025,4.27118644068,15.8474576271,45.988700565,17.4293785311,4.9209039548,5.8813559322,5.66101694915,66.1073446328
1031,4.51578916562,8.86183382598,28.2653867541,24.2178582926,10.9016945184,16.0028095642,7.23462787907,41.6430097457
1033,5.47093403005,11.5898105813,39.8301763553,19.4173742652,7.29719137818,10.1868060091,6.2077073808,56.8909209667
1039,8.55784469097,15.0177345106,32.205116595,22.7303599728,8.81442909969,9.18798581239,3.48652931854,55.7806957965
1043,4.93868489675,12.5836915921,40.1578687716,19.3477341603,10.1945168793,7.6731975474,5.10430615265,57.6802452604
1045,4.337625011,8.46115494032,30.4542921665,29.1638560577,10.8513945508,9.5228319207,7.20884535296,43.2530721178
1047,4.86003397592,17.0987517542,33.2816308442,20.9210429131,10.4771401137,7.51901912992,5.84238126893,55.2404165743
1049,14.4589218431,16.214452607,36.6240764519,13.5369524491,9.14602058644,4.99084345465,5.02873260783,67.297450902
1051,6.21841155235,9.78158844765,33.9386281588,19.4386281588,9.87545126354,13.5866425993,7.16064981949,49.9386281588
1053,3.6441416462,17.1868810901,42.5057434841,16.0381842668,7.8309435158,7.92204705696,4.87205894003,63.3367662204
1055,6.62185014884,9.55821721569,31.39578762,26.7026316893,8.42615756593,10.8831462873,6.41220947296,47.5758549846
1059,14.1552736785,16.3071911554,30.2058141257,18.8588914664,8.81496471053,7.90188046,3.75598440353,60.6682789596
1061,11.7138000309,13.4858084789,32.7357956009,23.6491011178,7.44346571885,8.90640292587,2.06562612682,57.9354041106
1069,4.19985720486,9.31808318517,31.9105150425,24.2233764052,9.07869132449,12.663969425,8.60550741275,45.4284554325
1071,6.31624138024,12.6995626392,43.9158550001,17.2019640988,10.6281359843,6.88239555663,2.35584534063,62.9316590196
1073,3.18496564491,7.69562818185,26.2068781373,22.9865338745,8.35269144505,19.419968671,12.1533340454,37.0874719641
1077,5.15824085491,9.10240601979,33.6826962598,23.0152707958,5.5566094407,13.5303044674,9.95447216162,47.9433431345
1079,4.40369314556,15.542696677,43.9560907118,15.4661107093,8.77760285921,9.07118240225,2.78262349487,63.9024805344
1081,2.74146479057,5.84202132853,23.4592143376,26.421992471,7.27187910216,20.4324289139,13.8309990562,32.0427004567
1083,6.09632606563,9.64051770514,31.2616689345,20.1338565235,6.94914717889,15.3697667795,10.5487168128,46.9985127053
1089,2.54712854375,6.12202387152,22.2150936322,19.283437832,8.47834690774,26.0353698419,15.3185993709,30.8842460475
1091,10.4262719405,8.47690689962,31.5376526733,20.0032354606,9.44754509423,12.0520909164,8.05629701529,50.4408315134
