State,County,Party,St_FIPS,County_FIPS,Candidate,Votes,Percentage
la,1st District,GOP,22,,,Winner S. Scalise (i),66.6%,   193331
la,1st District,Dem,22,,,V. Mendoza,21.3%,    61920
la,1st District,GOP,22,,,G. King,8.5%,    24808
la,1st District,NPA,22,,,D. Turknett,2.1%,     6057
la,1st District,NPA,22,,,A. Wells,1.5%,     4280
la,2nd District,Dem,22,,,Winner C. Richmond (i),55.2%,   158184
la,2nd District,Dem,22,,,G. Landrieu,25.0%,    71761
la,2nd District,GOP,22,,,D. Bailey,13.5%,    38748
la,2nd District,GOP,22,,,J. Larose,4.0%,    11329
la,2nd District,Lib,22,,,C. Trotter,2.4%,     6778
la,3rd District,GOP,22,,,* C. Boustany (i),44.7%,   139113
la,3rd District,GOP,22,,,* J. Landry (i),30.0%,    93524
la,3rd District,Dem,22,,,R. Richard,21.5%,    67058
la,3rd District,GOP,22,,,B. Barrilleaux,2.5%,     7907
la,3rd District,Lib,22,,,J. Stark,1.2%,     3764
la,4th District,GOP,22,,,Winner J. Fleming (i),75.3%,   187783
la,4th District,Lib,22,,,R. Lord,24.7%,    61586
la,5th District,GOP,22,,,Winner R. Alexander (i),77.8%,   203483
la,5th District,NPA,22,,,R. Ceasar,14.4%,    37635
la,5th District,Lib,22,,,C. Grant,7.8%,    20519
la,6th District,GOP,22,,,Winner B. Cassidy (i),79.4%,   243594
la,6th District,Lib,22,,,R. Craig,10.5%,    32200
la,6th District,NPA,22,,,R. Torregano,10.1%,    31014
ma,1st District,Dem,25,,,Winner R. Neal (i),0%,        0
ma,2nd District,Dem,25,,,Winner J. McGovern (i),0%,        0
ma,3rd District,Dem,25,,,Winner N. Tsongas (i),65.9%,   210833
ma,3rd District,GOP,25,,,J. Golnik,34.1%,   108868
ma,4th District,Dem,25,,,Winner J. Kennedy,61.1%,   219499
ma,4th District,GOP,25,,,S. Bielat,36.0%,   129243
ma,4th District,Ind,25,,,D. Rosa,3.0%,    10674
ma,5th District,Dem,25,,,Winner E. Markey (i),75.5%,   254128
ma,5th District,GOP,25,,,T. Tierney,24.5%,    82286
ma,6th District,Dem,25,,,Winner J. Tierney (i),48.3%,   179603
ma,6th District,GOP,25,,,R. Tisei,47.3%,   175953
ma,6th District,Lib,25,,,D. Fishman,4.5%,    16668
ma,7th District,Dem,25,,,Winner M. Capuano (i),83.6%,   206424
ma,7th District,Ind,25,,,K. Romero,16.4%,    40438
ma,8th District,Dem,25,,,Winner S. Lynch (i),76.3%,   262565
ma,8th District,GOP,25,,,J. Selvaggi,23.7%,    81733
ma,9th District,Dem,25,,,Winner B. Keating (i),58.8%,   211051
ma,9th District,GOP,25,,,C. Sheldon,32.2%,   115541
ma,9th District,Ind,25,,,D. Botelho,9.0%,    32468
md,1st District,GOP,24,,,Winner A. Harris (i),67.5%,   202130
md,1st District,Dem,24,,,W. Rosen,28.5%,    85468
md,1st District,Lib,24,,,M. Boda,4.0%,    11939
md,2nd District,Dem,24,,,Winner D. Ruppersberger (i),65.5%,   181272
md,2nd District,GOP,24,,,N. Jacobs,31.4%,    86856
md,2nd District,Lib,24,,,L. Dymowski,3.2%,     8750
md,3rd District,Dem,24,,,Winner J. Sarbanes (i),66.6%,   196111
md,3rd District,GOP,24,,,E. Knowles,29.8%,    87847
md,3rd District,Lib,24,,,P. Drgos,3.5%,    10342
md,4th District,Dem,24,,,Winner D. Edwards (i),77.1%,   220344
md,4th District,GOP,24,,,F. Loudon,20.9%,    59882
md,4th District,Lib,24,,,S. Soffen,2.0%,     5736
md,5th District,Dem,24,,,Winner S. Hoyer (i),62.2%,   211816
md,5th District,GOP,24,,,T. O'Donnell,35.2%,   119768
md,5th District,Grn,24,,,B. Auerbach,1.3%,     4478
md,5th District,Lib,24,,,A. Vohra,1.3%,     4392
md,6th District,Dem,24,,,Winner J. Delaney,58.6%,   167481
md,6th District,GOP,24,,,R. Bartlett (i),38.1%,   108855
md,6th District,Lib,24,,,N. Mueller,3.2%,     9259
md,7th District,Dem,24,,,Winner E. Cummings (i),76.3%,   226692
md,7th District,GOP,24,,,F. Mirabile,21.1%,    62593
md,7th District,Lib,24,,,R. Owens-Bey,2.6%,     7628
md,8th District,Dem,24,,,Winner C. Van Hollen (i),62.5%,   192711
md,8th District,GOP,24,,,K. Timmerman,33.9%,   104391
md,8th District,Lib,24,,,M. Grannis,2.1%,     6624
md,8th District,Grn,24,,,G. Gluck,1.5%,     4498
me,1st District,Dem,23,,,Winner C. Pingree (i),64.7%,   233616
me,1st District,GOP,23,,,J. Courtney,35.3%,   127304
me,2nd District,Dem,23,,,Winner M. Michaud (i),58.1%,   189407
me,2nd District,GOP,23,,,K. Raye,41.9%,   136328
mi,1st District,GOP,26,,,Winner D. Benishek (i),48.2%,   166833
mi,1st District,Dem,26,,,G. McDowell,47.5%,   164536
mi,1st District,Lib,26,,,E. Salvette,3.2%,    10917
mi,1st District,Grn,26,,,E. Boal,1.2%,     4156
mi,2nd District,GOP,26,,,Winner B. Huizenga (i),61.1%,   193646
mi,2nd District,Dem,26,,,W. German,34.3%,   108644
mi,2nd District,Lib,26,,,M. Buzuma,2.8%,     8756
mi,2nd District,UST,26,,,R. Graeser,1.0%,     3177
mi,2nd District,Grn,26,,,W. Opalicky,0.9%,     2712
mi,3rd District,GOP,26,,,Winner J. Amash (i),52.7%,   173529
mi,3rd District,Dem,26,,,S. Pestka,44.1%,   145117
mi,3rd District,Lib,26,,,B. Gelineau,3.2%,    10587
mi,4th District,GOP,26,,,Winner D. Camp (i),63.1%,   196835
mi,4th District,Dem,26,,,D. Freidell Wirth,33.5%,   104601
mi,4th District,Lib,26,,,J. Gelineau,1.4%,     4277
mi,4th District,UST,26,,,G. Zimmer,1.1%,     3557
mi,4th District,Grn,26,,,P. Timmons,0.9%,     2760
mi,5th District,Dem,26,,,Winner D. Kildee,65.0%,   213303
mi,5th District,GOP,26,,,J. Slezak,31.4%,   103001
mi,5th District,NPA,26,,,D. Davenport,2.0%,     6665
mi,5th District,Lib,26,,,G. Creswell,1.5%,     4971
mi,6th District,GOP,26,,,Winner F. Upton (i),54.5%,   173301
mi,6th District,Dem,26,,,M. O'Brien,42.7%,   135793
mi,6th District,Lib,26,,,C. Gelineau,2.0%,     6317
mi,6th District,UST,26,,,J. Gatties,0.8%,     2583
mi,7th District,GOP,26,,,Winner T. Walberg (i),53.3%,   169184
mi,7th District,Dem,26,,,K. Haskell,43.0%,   136508
mi,7th District,Lib,26,,,K. Proctor,2.5%,     8086
mi,7th District,Grn,26,,,R. Wunsch,1.1%,     3455
mi,8th District,GOP,26,,,Winner M. Rogers (i),58.6%,   202126
mi,8th District,Dem,26,,,L. Enderle,37.3%,   128622
mi,8th District,Lib,26,,,D. Goebel,2.3%,     8079
mi,8th District,NPA,26,,,P. Brooks,1.8%,     6094
mi,9th District,Dem,26,,,Winner S. Levin (i),61.9%,   208834
mi,9th District,GOP,26,,,D. Volaric,34.0%,   114746
mi,9th District,Lib,26,,,J. Fulner,1.8%,     6100
mi,9th District,Grn,26,,,J. Williams,1.4%,     4706
mi,9th District,UST,26,,,L. Townsend,0.9%,     2902
mi,10th District,GOP,26,,,Winner C. Miller (i),68.7%,   226151
mi,10th District,Dem,26,,,C. Stadler,29.8%,    98058
mi,10th District,Lib,26,,,B. Dashairya,1.5%,     4796
mi,11th District,GOP,26,,,Winner K. Bentivolio,50.8%,   181796
mi,11th District,Dem,26,,,S. Taj,44.4%,   158889
mi,11th District,Lib,26,,,J. Tatar,2.7%,     9640
mi,11th District,Grn,26,,,S. Duke,1.3%,     4570
mi,11th District,NPA,26,,,D. Johnson,0.9%,     3251
mi,11th District Special Election,Dem,26,,,D. Curson,48.4%,   159267
mi,11th District Special Election,GOP,26,,,K. Bentivolio,46.1%,   151740
mi,11th District Special Election,Lib,26,,,J. Tatar,3.5%,    11611
mi,11th District Special Election,UST,26,,,M. Sosnowski,2.0%,     6528
mi,12th District,Dem,26,,,Winner J. Dingell (i),67.9%,   216537
mi,12th District,GOP,26,,,C. Kallgren,29.0%,    92305
mi,12th District,Lib,26,,,R. Secula,3.1%,     9867
mi,13th District,Dem,26,,,Winner J. Conyers (i),82.8%,   235258
mi,13th District,GOP,26,,,H. Sawicki,13.6%,    38765
mi,13th District,Lib,26,,,C. Sharer,2.1%,     6076
mi,13th District,UST,26,,,M. Gray,1.4%,     4089
mi,14th District,Dem,26,,,Winner G. Peters (i),82.2%,   270184
mi,14th District,GOP,26,,,J. Hauler,15.6%,    51395
mi,14th District,Lib,26,,,L. Schwartz,1.2%,     3968
mi,14th District,Grn,26,,,D. Campbell,0.9%,     2977
mn,1st District,Dem,27,,,Winner T. Walz (i),57.6%,   193209
mn,1st District,GOP,27,,,A. Quist,42.4%,   142159
mn,2nd District,GOP,27,,,Winner J. Kline (i),54.1%,   193586
mn,2nd District,Dem,27,,,M. Obermueller,45.9%,   164335
mn,3rd District,GOP,27,,,Winner E. Paulsen (i),58.2%,   222333
mn,3rd District,Dem,27,,,B. Barnes,41.8%,   159936
mn,4th District,Dem,27,,,Winner B. McCollum (i),62.4%,   216680
mn,4th District,GOP,27,,,T. Hernandez,31.6%,   109656
mn,4th District,Inp,27,,,S. Carlson,6.1%,    21132
mn,5th District,Dem,27,,,Winner K. Ellison (i),74.7%,   262101
mn,5th District,GOP,27,,,C. Fields,25.3%,    88753
mn,6th District,GOP,27,,,Winner M. Bachmann (i),50.6%,   180131
mn,6th District,Dem,27,,,J. Graves,49.4%,   175923
mn,7th District,Dem,27,,,Winner C. Peterson (i),60.4%,   197540
mn,7th District,GOP,27,,,L. Byberg,34.9%,   114102
mn,7th District,Inp,27,,,A. Steele,4.7%,    15294
mn,8th District,Dem,27,,,Winner R. Nolan,54.5%,   192748
mn,8th District,GOP,27,,,C. Cravaack (i),45.5%,   161113
mo,1st District,Dem,29,,,Winner L. Clay (i),78.6%,   264836
mo,1st District,GOP,29,,,R. Hamlin,17.9%,    60306
mo,1st District,Lib,29,,,R. Cunningham,3.5%,    11725
mo,2nd District,GOP,29,,,Winner A. Wagner,60.1%,   235607
mo,2nd District,Dem,29,,,G. Koenen,37.1%,   145257
mo,2nd District,Lib,29,,,B. Slantz,2.3%,     9141
mo,2nd District,CST,29,,,A. Zorikova,0.5%,     2003
mo,3rd District,GOP,29,,,Winner B. Luetkemeyer (i),63.5%,   214660
mo,3rd District,Dem,29,,,E. Mayer,32.9%,   111116
mo,3rd District,Lib,29,,,S. Wilson,3.7%,    12343
mo,4th District,GOP,29,,,Winner V. Hartzler (i),60.3%,   192166
mo,4th District,Dem,29,,,T. Hensley,35.5%,   113044
mo,4th District,Lib,29,,,T. Holbrook,3.3%,    10396
mo,4th District,CST,29,,,G. Cowan,0.9%,     2956
mo,5th District,Dem,29,,,Winner E. Cleaver (i),60.2%,   196467
mo,5th District,GOP,29,,,J. Turk,37.2%,   121437
mo,5th District,Lib,29,,,R. Langkraehr,2.6%,     8432
mo,6th District,GOP,29,,,Winner S. Graves (i),65.0%,   216721
mo,6th District,Dem,29,,,K. Yarber,32.5%,   108414
mo,6th District,Lib,29,,,R. Monchil,2.5%,     8269
mo,7th District,GOP,29,,,Winner B. Long (i),63.9%,   203358
mo,7th District,Dem,29,,,J. Evans,30.9%,    98384
mo,7th District,Lib,29,,,K. Craig,5.2%,    16656
mo,8th District,GOP,29,,,Winner J. Emerson (i),71.9%,   215975
mo,8th District,Dem,29,,,J. Rushin,24.6%,    73720
mo,8th District,Lib,29,,,R. Vandeven,3.5%,    10544
ms,1st District,GOP,28,,,Winner A. Nunnelee (i),60.7%,   178594
ms,1st District,Dem,28,,,B. Morris,36.7%,   107938
ms,1st District,Lib,28,,,D. Bedwell,1.2%,     3413
ms,1st District,RP,28,,,C. Potts,0.8%,     2265
ms,1st District,CST,28,,,J. Bourland,0.8%,     2243
ms,2nd District,Dem,28,,,Winner B. Thompson (i),67.4%,   199554
ms,2nd District,GOP,28,,,B. Marcy,30.7%,    90861
ms,2nd District,Ind,28,,,C. Williams,1.5%,     4335
ms,2nd District,RP,28,,,L. Williams,0.5%,     1406
ms,3rd District,GOP,28,,,Winner G. Harper (i),80.1%,   223596
ms,3rd District,RP,28,,,L. Pannell,19.9%,    55703
ms,4th District,GOP,28,,,Winner S. Palazzo (i),64.3%,   173576
ms,4th District,Dem,28,,,M. Moore,28.5%,    77041
ms,4th District,Lib,28,,,R. Williams,6.4%,    17262
ms,4th District,RP,28,,,R. Claunch,0.7%,     2012
mt,At-Large,GOP,30,,,Winner S. Daines,53.2%,   252707
mt,At-Large,Dem,30,,,K. Gillan,42.9%,   203748
mt,At-Large,Lib,30,,,D. Kaiser,4.0%,    18933
nc,1st District,Dem,37,,,Winner G. Butterfield (i),75.2%,   250948
nc,1st District,GOP,37,,,P. DiLauro,23.0%,    76558
nc,1st District,Lib,37,,,D. Holloman,1.8%,     6031
nc,2nd District,GOP,37,,,Winner R. Ellmers (i),55.9%,   174565
nc,2nd District,Dem,37,,,S. Wilkins,41.4%,   129307
nc,2nd District,Lib,37,,,B. Irving,2.7%,     8460
nc,3rd District,GOP,37,,,Winner W. Jones (i),63.2%,   192976
nc,3rd District,Dem,37,,,E. Anderson,36.8%,   112546
nc,4th District,Dem,37,,,Winner D. Price (i),74.4%,   265432
nc,4th District,GOP,37,,,T. D'Annunzio,25.6%,    91512
nc,5th District,GOP,37,,,Winner V. Foxx (i),57.5%,   200083
nc,5th District,Dem,37,,,E. Motsinger,42.5%,   147649
nc,6th District,GOP,37,,,Winner H. Coble (i),60.9%,   220296
nc,6th District,Dem,37,,,T. Foriest,39.1%,   141214
nc,7th District,Dem,37,,,Winner M. McIntyre (i),50.1%,   167590
nc,7th District,GOP,37,,,D. Rouzer,49.9%,   167057
nc,8th District,GOP,37,,,Winner R. Hudson,54.1%,   159226
nc,8th District,Dem,37,,,L. Kissell (i),45.9%,   134891
nc,9th District,GOP,37,,,Winner R. Pittenger,51.8%,   193174
nc,9th District,Dem,37,,,J. Roberts,45.7%,   170462
nc,9th District,Lib,37,,,C. Campbell,2.6%,     9553
nc,10th District,GOP,37,,,Winner P. McHenry (i),57.0%,   189667
nc,10th District,Dem,37,,,P. Keever,43.0%,   142822
nc,11th District,GOP,37,,,Winner M. Meadows,57.4%,   189289
nc,11th District,Dem,37,,,H. Rogers,42.6%,   140216
nc,12th District,Dem,37,,,Winner M. Watt (i),79.7%,   246451
nc,12th District,GOP,37,,,J. Brosch,20.3%,    62924
nc,13th District,GOP,37,,,Winner G. Holding,57.1%,   225791
nc,13th District,Dem,37,,,C. Malone,42.9%,   169637
nd,At-Large,GOP,38,,,Winner K. Cramer,55.0%,   172905
nd,At-Large,Dem,38,,,P. Gulleson,41.8%,   131396
nd,At-Large,Lib,38,,,E. Olson,3.2%,    10215
ne,1st District,GOP,31,,,Winner J. Fortenberry (i),68.5%,   171385
ne,1st District,Dem,31,,,K. Reiman,31.5%,    78732
ne,2nd District,GOP,31,,,Winner L. Terry (i),51.2%,   127119
ne,2nd District,Dem,31,,,J. Ewing,48.8%,   121165
ne,3rd District,GOP,31,,,Winner A. Smith (i),74.2%,   184978
ne,3rd District,Dem,31,,,M. Sullivan,25.8%,    64257
nh,1st District,Dem,33,,,Winner C. Shea-Porter,49.7%,   171356
nh,1st District,GOP,33,,,F. Guinta (i),46.0%,   158482
nh,1st District,Lib,33,,,B. Kelly,4.3%,    14968
nh,2nd District,Dem,33,,,Winner A. Kuster,50.2%,   168954
nh,2nd District,GOP,33,,,C. Bass (i),45.1%,   151858
nh,2nd District,Lib,33,,,H. Macia,4.7%,    15779
nj,1st District,Dem,34,,,Winner R. Andrews (i),67.9%,   194303
nj,1st District,GOP,34,,,G. Horton,30.3%,    86820
nj,1st District,Ind,34,,,J. Reitter,1.4%,     4076
nj,1st District,Ind,34,,,M. Chapman,0.3%,      983
nj,2nd District,GOP,34,,,Winner F. LoBiondo (i),58.0%,   156799
nj,2nd District,Dem,34,,,C. Shober,40.0%,   108288
nj,2nd District,Ind,34,,,J. Ordille,0.9%,     2498
nj,2nd District,Ind,34,,,C. Lukens,0.4%,     1212
nj,2nd District,Ind,34,,,D. Bowen,0.3%,      932
nj,2nd District,Ind,34,,,F. Faralli,0.3%,      828
nj,3rd District,GOP,34,,,Winner J. Runyan (i),53.8%,   161452
nj,3rd District,Dem,34,,,S. Adler,44.8%,   134599
nj,3rd District,Ind,34,,,R. Forchion,0.6%,     1806
nj,3rd District,Ind,34,,,R. Shapiro,0.3%,     1006
nj,3rd District,Ind,34,,,F. Lavergne,0.2%,      735
nj,3rd District,Ind,34,,,R. Witterschein,0.2%,      489
nj,3rd District,Ind,34,,,C. Dennick,0.1%,      261
nj,4th District,GOP,34,,,Winner C. Smith (i),68.0%,   189548
nj,4th District,Dem,34,,,B. Froelich,31.0%,    86380
nj,4th District,Ind,34,,,L. Marshall,1.1%,     2966
nj,5th District,GOP,34,,,Winner S. Garrett (i),55.5%,   154359
nj,5th District,Dem,34,,,A. Gussen,42.4%,   117973
nj,5th District,Ind,34,,,P. Alessandrini,2.2%,     6029
nj,6th District,Dem,34,,,Winner F. Pallone (i),63.3%,   141852
nj,6th District,GOP,34,,,A. Little,35.3%,    79128
nj,6th District,Ind,34,,,L. Flynn,0.5%,     1228
nj,6th District,Ind,34,,,K. Zaletel,0.3%,      772
nj,6th District,Ind,34,,,M. Lyden,0.3%,      770
nj,6th District,Ind,34,,,H. Tarbous,0.2%,      415
nj,7th District,GOP,34,,,Winner L. Lance (i),57.4%,   167736
nj,7th District,Dem,34,,,U. Chivukula,39.9%,   116445
nj,7th District,Ind,34,,,D. Breen,1.4%,     4189
nj,7th District,Ind,34,,,P. McKnight,1.3%,     3654
nj,8th District,Dem,34,,,Winner A. Sires (i),78.1%,   118904
nj,8th District,GOP,34,,,M. Karczewski,18.9%,    28810
nj,8th District,Ind,34,,,H. Shaw,1.1%,     1609
nj,8th District,Ind,34,,,S. De Luca,1.0%,     1509
nj,8th District,Ind,34,,,P. Olivera,0.9%,     1401
nj,9th District,Dem,34,,,Winner B. Pascrell (i),73.6%,   146939
nj,9th District,GOP,34,,,S. Boteach,25.4%,    50772
nj,9th District,Ind,34,,,D. Smith,0.5%,     1068
nj,9th District,Ind,34,,,J. Woolsey,0.5%,      929
nj,10th District Special Election,Dem,34,,,Winner D. Payne Jr.,97.4%,   154365
nj,10th District Special Election,Inp,34,,,J. Miller,2.6%,     4090
nj,10th District,Dem,34,,,Winner D. Payne Jr.,87.3%,   185196
nj,10th District,GOP,34,,,B. Kelemen,10.8%,    23015
nj,10th District,Ind,34,,,J. Miller,1.3%,     2798
nj,10th District,Ind,34,,,M. Erickson,0.5%,     1126
nj,11th District,GOP,34,,,Winner R. Frelinghuysen (i),58.9%,   167368
nj,11th District,Dem,34,,,J. Arvanites,40.0%,   113554
nj,11th District,Ind,34,,,B. Berlin,1.1%,     3243
nj,12th District,Dem,34,,,Winner R. Holt (i),68.9%,   177238
nj,12th District,GOP,34,,,E. Beck,29.9%,    76824
nj,12th District,Ind,34,,,J. Freudenheim,0.8%,     2080
nj,12th District,Ind,34,,,K. Cody,0.5%,     1196
nm,1st District,Dem,35,,,Winner M. Lujan Grisham,59.1%,   159275
nm,1st District,GOP,35,,,J. Arnold-Jones,40.9%,   110370
nm,2nd District,GOP,35,,,Winner S. Pearce (i),59.1%,   132250
nm,2nd District,Dem,35,,,E. Erhard,40.9%,    91561
nm,3rd District,Dem,35,,,Winner B. Lujan (i),63.0%,   164620
nm,3rd District,GOP,35,,,J. Byrd,37.0%,    96837
nv,1st District,Dem,32,,,Winner D. Titus,63.5%,   113377
nv,1st District,GOP,32,,,C. Edwards,31.6%,    56357
nv,1st District,Lib,32,,,W. Pojunis,2.6%,     4614
nv,1st District,IAP,32,,,S. Vaughan,2.3%,     4120
nv,2nd District,GOP,32,,,Winner M. Amodei (i),57.7%,   161915
nv,2nd District,Dem,32,,,S. Koepnick,36.2%,   101594
nv,2nd District,Ind,32,,,M. Haines,3.9%,    11082
nv,2nd District,IAP,32,,,R. Best,2.1%,     6006
nv,3rd District,GOP,32,,,Winner J. Heck (i),50.4%,   136905
nv,3rd District,Dem,32,,,J. Oceguera,42.8%,   116385
nv,3rd District,Ind,32,,,J. Murphy,4.7%,    12787
nv,3rd District,IAP,32,,,T. Jones,2.1%,     5580
nv,4th District,Dem,32,,,Winner S. Horsford,50.1%,   120096
nv,4th District,GOP,32,,,D. Tarkanian,42.2%,   101136
nv,4th District,IAP,32,,,F. Fitzgibbons,3.9%,     9376
nv,4th District,Lib,32,,,J. Silvestri,3.9%,     9308
ny,1st District,Dem,36,,,Winner T. Bishop (i),52.2%,   132525
ny,1st District,GOP,36,,,R. Altschuler,47.8%,   121478
ny,2nd District,GOP,36,,,Winner P. King (i),58.7%,   131091
ny,2nd District,Dem,36,,,V. Falcone,41.3%,    92060
ny,3rd District,Dem,36,,,Winner S. Israel (i),57.5%,   136687
ny,3rd District,GOP,36,,,S. Labate,41.7%,    99183
ny,3rd District,Lib,36,,,M. McDermott,0.6%,     1460
ny,3rd District,CST,36,,,A. Tolda,0.1%,      346
ny,4th District,Dem,36,,,Winner C. McCarthy (i),61.7%,   138561
ny,4th District,GOP,36,,,F. Becker,32.4%,    72673
ny,4th District,Con,36,,,F. Scaturro,5.9%,    13243
ny,5th District,Dem,36,,,Winner G. Meeks (i),89.7%,   146278
ny,5th District,GOP,36,,,A. Jennings,9.6%,    15640
ny,5th District,Lib,36,,,C. Wark,0.7%,     1161
ny,6th District,Dem,36,,,Winner G. Meng,67.7%,   100571
ny,6th District,GOP,36,,,D. Halloran,31.2%,    46305
ny,6th District,Grn,36,,,E. Chou,1.2%,     1729
ny,7th District,Dem,36,,,Winner N. Velazquez (i),94.5%,   116873
ny,7th District,Con,36,,,J. Murray,5.5%,     6823
ny,8th District,Dem,36,,,Winner H. Jeffries,90.0%,   159463
ny,8th District,GOP,36,,,A. Bellone,8.8%,    15546
ny,8th District,Grn,36,,,C. Beavan,1.2%,     2098
ny,9th District,Dem,36,,,Winner Y. Clarke (i),87.0%,   165201
ny,9th District,GOP,36,,,D. Cavanagh,11.6%,    21984
ny,9th District,Grn,36,,,V. Morgan,1.4%,     2700
ny,10th District,Dem,36,,,Winner J. Nadler (i),80.7%,   145381
ny,10th District,GOP,36,,,M. Chan,19.3%,    34848
ny,11th District,GOP,36,,,Winner M. Grimm (i),52.8%,    94102
ny,11th District,Dem,36,,,M. Murphy,46.2%,    82401
ny,11th District,Grn,36,,,H. Bardel,1.0%,     1782
ny,12th District,Dem,36,,,Winner C. Maloney (i),80.9%,   158834
ny,12th District,GOP,36,,,C. Wight,19.1%,    37580
ny,13th District,Dem,36,,,Winner C. Rangel (i),90.8%,   152592
ny,13th District,GOP,36,,,C. Schley,6.3%,    10546
ny,13th District,SWP,36,,,D. Liatos,2.9%,     4874
ny,14th District,Dem,36,,,Winner J. Crowley (i),83.0%,   108436
ny,14th District,GOP,36,,,W. Gibbons,15.3%,    19934
ny,14th District,Grn,36,,,A. Gronowicz,1.8%,     2322
ny,15th District,Dem,36,,,Winner J. Serrano (i),97.1%,   132505
ny,15th District,GOP,36,,,F. Della Valle,2.9%,     3983
ny,16th District,Dem,36,,,Winner E. Engel (i),77.5%,   137213
ny,16th District,GOP,36,,,J. McLaughlin,21.4%,    37860
ny,16th District,Grn,36,,,J. Diaferia,1.2%,     2052
ny,17th District,Dem,36,,,Winner N. Lowey (i),64.2%,   139876
ny,17th District,GOP,36,,,J. Carvin,34.8%,    75736
ny,17th District,Oth,36,,,F. Morganthaler,1.0%,     2164
ny,18th District,Dem,36,,,Winner S. Maloney,51.7%,   130462
ny,18th District,GOP,36,,,N. Hayworth (i),48.3%,   121911
ny,19th District,GOP,36,,,Winner C. Gibson (i),53.5%,   138657
ny,19th District,Dem,36,,,J. Schreibman,46.5%,   120661
ny,20th District,Dem,36,,,Winner P. Tonko (i),68.4%,   188055
ny,20th District,GOP,36,,,R. Dieterich,31.6%,    86740
ny,21st District,Dem,36,,,Winner B. Owens (i),50.3%,   115883
ny,21st District,GOP,36,,,M. Doheny,48.1%,   110804
ny,21st District,Grn,36,,,D. Hassig,1.6%,     3683
ny,22nd District,GOP,36,,,Winner R. Hanna (i),60.9%,   146055
ny,22nd District,Dem,36,,,D. Lamb,39.1%,    93681
ny,23rd District,GOP,36,,,Winner T. Reed (i),51.9%,   126519
ny,23rd District,Dem,36,,,N. Shinagawa,48.1%,   117055
ny,24th District,Dem,36,,,Winner D. Maffei,48.4%,   130969
ny,24th District,GOP,36,,,A. Buerkle (i),43.8%,   118578
ny,24th District,Grn,36,,,U. Rozum,7.9%,    21327
ny,25th District,Dem,36,,,Winner L. Slaughter (i),57.2%,   166342
ny,25th District,GOP,36,,,M. Brooks,42.8%,   124585
ny,26th District,Dem,36,,,Winner B. Higgins (i),74.6%,   197799
ny,26th District,GOP,36,,,M. Madigan,25.4%,    67209
ny,27th District,GOP,36,,,Winner C. Collins,50.7%,   150446
ny,27th District,Dem,36,,,K. Hochul (i),49.3%,   146134
oh,1st District,GOP,39,,,Winner S. Chabot (i),58.3%,   196783
oh,1st District,Dem,39,,,J. Sinnard,37.1%,   125030
oh,1st District,Lib,39,,,J. Berns,2.7%,     9245
oh,1st District,Grn,39,,,R. Stevenson,1.9%,     6351
oh,2nd District,GOP,39,,,Winner B. Wenstrup,59.1%,   189400
oh,2nd District,Dem,39,,,W. Smith,40.9%,   131256
oh,3rd District,Dem,39,,,Winner J. Beatty,67.8%,   188831
oh,3rd District,GOP,39,,,C. Long,26.9%,    74938
oh,3rd District,Lib,39,,,R. Ehrbar,3.2%,     8826
oh,3rd District,Grn,39,,,R. Fitrakis,2.2%,     5993
oh,4th District,GOP,39,,,Winner J. Jordan (i),58.7%,   179458
oh,4th District,Dem,39,,,J. Slone,36.2%,   110663
oh,4th District,Lib,39,,,C. Kalla,5.1%,    15487
oh,5th District,GOP,39,,,Winner B. Latta (i),57.6%,   197435
oh,5th District,Dem,39,,,A. Zimmann,38.9%,   133471
oh,5th District,Lib,39,,,E. Eberly,3.5%,    11971
oh,6th District,GOP,39,,,Winner B. Johnson (i),53.4%,   159621
oh,6th District,Dem,39,,,C. Wilson,46.6%,   139438
oh,7th District,GOP,39,,,Winner B. Gibbs (i),56.7%,   174826
oh,7th District,Dem,39,,,J. Healy-Abrams,43.3%,   133686
oh,8th District,GOP,39,,,Winner J. Boehner (i),0.0%,        0
oh,9th District,Dem,39,,,Winner M. Kaptur (i),72.6%,   206763
oh,9th District,GOP,39,,,S. Wurzelbacher,23.5%,    66844
oh,9th District,Lib,39,,,S. Stipe,3.9%,    11119
oh,10th District,GOP,39,,,Winner M. Turner (i),60.2%,   202166
oh,10th District,Dem,39,,,S. Swartz Neuhardt,36.9%,   124079
oh,10th District,Lib,39,,,D. Harlow,2.9%,     9729
oh,11th District,Dem,39,,,Winner M. Fudge (i),0.0%,        0
oh,12th District,GOP,39,,,Winner P. Tiberi (i),63.7%,   227079
oh,12th District,Dem,39,,,J. Reese,36.3%,   129259
oh,13th District,Dem,39,,,Winner T. Ryan (i),72.5%,   227032
oh,13th District,GOP,39,,,M. Agana,27.5%,    86261
oh,14th District,GOP,39,,,Winner D. Joyce,54.3%,   179704
oh,14th District,Dem,39,,,D. Blanchard,38.5%,   127467
oh,14th District,Grn,39,,,E. Mastromatteo,3.8%,    12546
oh,14th District,Lib,39,,,D. Macko,3.4%,    11088
oh,15th District,GOP,39,,,Winner S. Stivers (i),61.8%,   199598
oh,15th District,Dem,39,,,P. Lang,38.2%,   123201
oh,16th District,GOP,39,,,Winner J. Renacci (i),52.2%,   181137
oh,16th District,Dem,39,,,B. Sutton (i),47.8%,   165638
