ca,District 34,D,06,Xavier Becerra,78.22,97305
ca,District 34,D,06,Adrienne Edwards,21.77,27091
ca,District 35,D,06,Norma Torres,71.76,109767
ca,District 35,R,06,Tyler Fischella,28.23,43189
ca,District 36,D,06,Raul Ruiz,61.42,132252
ca,District 36,R,06,Jeff Stone,38.57,83049
ca,District 37,D,06,Karen Bass,81.98,150535
ca,District 37,D,06,Chris Wiggins,18.01,33082
ca,District 38,D,06,Linda Sanchez,69.74,131099
ca,District 38,R,06,Ryan Downing,30.25,56883
ca,District 39,R,06,Ed Royce,57.74,138907
ca,District 39,D,06,Brett Murdock,42.25,101651
ca,District 40,D,06,Lucille Roybal-Allard,71.86,82789
ca,District 40,NPP,06,Roman Gonzalez,28.13,32404
ca,District 41,D,06,Mark Takano,64.36,115859
ca,District 41,R,06,Doug Shepherd,35.63,64153
ca,District 42,R,06,Ken Calvert,59.02,139915
ca,District 42,D,06,Tim Sheridan,40.97,97123
ca,District 43,D,06,Maxine Waters,75.59,128551
ca,District 43,R,06,Omar Navarro,24.4,41507
ca,District 44,D,06,Nanette Barragan,51.13,70303
ca,District 44,D,06,Isadore Hall,48.86,67177
ca,District 45,R,06,Mimi Walters,58.96,171736
ca,District 45,D,06,Ron Varasteh,41.03,119521
ca,District 46,D,06,Lou Correa,69.85,103475
ca,District 46,D,06,Bao Nguyen,30.14,44652
ca,District 47,D,06,Alan Lowenthal,62.5,127832
ca,District 47,R,06,Andy Whallon,37.49,76670
ca,District 48,R,06,Dana Rohrabacher,58.5,165987
ca,District 48,D,06,Suzanne Savary,41.49,117716
ca,District 49,R,06,Darrell Issa,51.01,134428
ca,District 49,D,06,Doug Applegate,48.98,129100
ca,District 50,R,06,Duncan D. Hunter,63.89,148880
ca,District 50,D,06,Patrick Malloy,36.1,84142
ca,District 51,D,06,Juan Vargas,71.85,108932
ca,District 51,R,06,Juan Hidalgo,28.14,42676
ca,District 52,D,06,Scott Peters,56.37,148651
ca,District 52,R,06,Denise Gitsham,43.62,115013
ca,District 53,D,06,Susan Davis,66.14,151269
ca,District 53,R,06,James Veltmeyer,33.85,77436
co,District 1,D,08,Diana DeGette,67.81,189837
co,District 1,R,08,Charles Stockham,28.42,79561
co,District 1,Lib,08,Darrell Dinges,3.76,10549
co,District 2,D,08,Jared Polis,56.77,251988
co,District 2,R,08,Nicholas Morse,37.4,166020
co,District 2,Lib,08,Richard Longstreth,5.82,25858
co,District 3,R,08,Scott Tipton,54.56,191917
co,District 3,D,08,Gail Schwartz,40.6,142794
co,District 3,Lib,08,Gaylon Kent,4.83,16996
co,District 4,R,08,Ken Buck,63.76,241424
co,District 4,D,08,Bob Seay,31.49,119249
co,District 4,Lib,08,Bruce Griffith,4.73,17925
co,District 5,R,08,Doug Lamborn,62.39,222169
co,District 5,D,08,Misty Plowright,30.77,109573
co,District 5,Lib,08,Mike McRedmond,6.83,24320
co,District 6,R,08,Mike Coffman,51.3,180727
co,District 6,D,08,Morgan Carroll,42.41,149417
co,District 6,Lib,08,Norm Olsen,4.85,17102
