GEO.id,County_FIPS,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
0500000US48085,48085,"Collin County, Texas",594392,296,22692,3177,18200,2450,93123,6920,117263,5158,44647,3404,194066,6919,104401,5755
0500000US48089,48089,"Colorado County, Texas",14268,1047,1523,541,1625,599,4485,1177,3227,836,656,361,1898,579,854,461
0500000US48091,48091,"Comal County, Texas",88878,545,4684,1372,3724,835,24109,2971,20126,2101,7423,1372,19627,2454,9185,1427
0500000US48097,48097,"Cooke County, Texas",26528,521,942,562,2535,1081,9790,1147,6165,1134,2002,555,3482,738,1612,680
0500000US48099,48099,"Coryell County, Texas",47019,821,1617,524,3652,779,13740,1580,15803,1888,5881,1297,4335,887,1991,682
0500000US48113,48113,"Dallas County, Texas",1621965,179,192456,8209,169799,6999,362190,8256,322126,7962,87344,5037,311771,7480,176279,6308
0500000US48121,48121,"Denton County, Texas",504944,281,17125,2573,22557,2531,97045,6364,118038,5840,37783,3723,144255,6408,68141,3798
0500000US48123,48123,"DeWitt County, Texas",15313,851,1342,397,1532,511,5555,980,3728,757,1148,388,1586,610,422,343
0500000US48135,48135,"Ector County, Texas",93777,602,8393,1617,13305,1944,27733,2475,22661,2592,6487,1682,11324,1735,3874,1131
0500000US48139,48139,"Ellis County, Texas",104676,428,8538,1690,6861,1487,30517,2497,26066,2612,8344,1506,17163,2098,7187,1410
0500000US48141,48141,"El Paso County, Texas",505803,1112,66142,4301,48167,3644,126535,6310,115090,5843,34526,3188,82007,5491,33336,2697
0500000US48143,48143,"Erath County, Texas",22301,1028,1511,571,1404,680,6041,1175,5462,1226,1413,649,5050,1026,1420,499
0500000US48147,48147,"Fannin County, Texas",23869,385,815,405,1961,598,9538,1072,5363,806,1831,469,2421,553,1940,549
0500000US48149,48149,"Fayette County, Texas",17974,588,1646,454,1627,777,6523,995,3585,756,1353,447,2529,691,711,318
0500000US48157,48157,"Fort Bend County, Texas",456580,627,22001,3657,21837,3841,82598,6769,93402,7819,30844,4492,125884,5393,80014,5500
0500000US48165,48165,"Gaines County, Texas",12018,913,2240,897,1710,692,3316,690,2093,661,1013,642,1264,540,382,350
0500000US48167,48167,"Galveston County, Texas",214205,838,11267,2064,15401,2212,52494,4024,51093,4278,19002,2516,44112,4009,20836,2778
0500000US48171,48171,"Gillespie County, Texas",19777,1020,1247,677,1007,414,6166,1348,4736,1010,766,406,4038,891,1817,599
0500000US48177,48177,"Gonzales County, Texas",12940,969,1524,504,1359,518,4951,821,2790,675,522,282,1596,518,198,138
0500000US48179,48179,"Gray County, Texas",15638,1009,1104,427,1802,636,5593,961,3836,868,1137,550,1777,626,389,257
0500000US48181,48181,"Grayson County, Texas",84286,772,3119,886,7874,1621,28216,2033,20377,2108,8555,1354,10822,1661,5323,1157
0500000US48183,48183,"Gregg County, Texas",79819,800,4274,933,8601,1978,23510,2506,20122,2326,6460,1265,11969,1623,4883,981
0500000US48185,48185,"Grimes County, Texas",17019,2225,1560,734,1923,688,6289,1302,4439,993,841,413,1381,674,586,295
0500000US48187,48187,"Guadalupe County, Texas",98463,597,4184,965,7496,1342,28919,2726,22841,2253,8335,1417,16076,1786,10612,2081
0500000US48189,48189,"Hale County, Texas",20767,417,2358,642,2086,846,6813,1100,5345,1073,990,490,2343,856,832,390
0500000US48199,48199,"Hardin County, Texas",38169,863,1180,666,3248,791,15048,1635,10624,1761,2284,810,3416,1062,2369,1043
0500000US48201,48201,"Harris County, Texas",2871639,532,324380,11601,249011,10767,678238,15832,586166,14305,176175,7117,546131,12966,311538,10623
0500000US48203,48203,"Harrison County, Texas",43546,1144,1979,672,4773,1146,17032,1744,10052,1640,2723,889,5320,1201,1667,608
0500000US48209,48209,"Hays County, Texas",115764,969,5182,1413,7000,1942,26547,3526,29558,3385,6298,1385,28180,2889,12999,2183
0500000US48213,48213,"Henderson County, Texas",55597,623,3279,975,5207,1105,19682,2383,12510,1608,3520,843,7822,1355,3577,1114
0500000US48215,48215,"Hidalgo County, Texas",467992,903,110882,5688,67977,4978,104675,5596,81110,5066,22410,2463,56096,4258,24842,2942
0500000US48217,48217,"Hill County, Texas",23384,503,1729,525,2730,600,8314,854,5023,803,1986,400,2347,461,1255,449
0500000US48219,48219,"Hockley County, Texas",14103,667,1388,482,1925,630,3623,656,3197,724,1777,534,1702,526,491,224
0500000US48221,48221,"Hood County, Texas",39911,794,1971,1005,2728,833,9970,1575,12357,1966,1815,675,6272,1284,4798,1776
0500000US48223,48223,"Hopkins County, Texas",23268,925,1550,552,2121,730,8284,974,5885,798,1284,497,2833,647,1311,456
0500000US48225,48225,"Houston County, Texas",15657,1068,571,247,1761,641,5871,883,3594,897,1187,435,2220,723,453,287
0500000US48227,48227,"Howard County, Texas",24034,972,2313,619,3067,736,8487,1249,6514,977,1658,529,1004,409,991,503
0500000US48231,48231,"Hunt County, Texas",58806,735,3902,1054,5679,1729,20413,2019,13912,1599,3837,1015,7163,1261,3900,1296
0500000US48233,48233,"Hutchinson County, Texas",13497,917,589,206,1381,595,4070,791,3790,781,1156,422,1799,588,712,330
0500000US48241,48241,"Jasper County, Texas",23639,843,1410,517,1564,673,10779,1482,6112,1251,1500,576,2102,891,172,166
0500000US48245,48245,"Jefferson County, Texas",168670,553,12315,1537,15043,2159,56078,2978,40505,3349,12722,1754,21362,2318,10645,1546
0500000US48249,48249,"Jim Wells County, Texas",25737,280,3370,828,4531,1289,9246,1344,4156,1078,1641,590,2407,927,386,280
0500000US48251,48251,"Johnson County, Texas",104251,303,7440,1540,8675,1575,32980,2726,27440,2321,7592,1360,13970,2033,6154,1372
0500000US48257,48257,"Kaufman County, Texas",73303,904,3125,760,7198,1609,24685,2326,18107,1982,5168,1476,10069,1777,4951,1076
0500000US48259,48259,"Kendall County, Texas",27665,840,1125,631,818,438,5970,1335,6876,1119,2150,1160,7615,1367,3111,964
0500000US48265,48265,"Kerr County, Texas",37518,1267,2622,999,3440,1245,10439,1928,9486,1607,2583,918,5611,1383,3337,915
0500000US48273,48273,"Kleberg County, Texas",16762,1706,1243,611,2557,1008,4573,1506,2204,754,1396,757,3009,1106,1780,835
0500000US48277,48277,"Lamar County, Texas",33403,508,2762,689,3676,787,11723,1321,8558,1297,2085,741,3435,898,1164,492
0500000US48281,48281,"Lampasas County, Texas",14078,1641,968,523,555,272,4292,1101,3013,824,2052,789,2032,694,1166,507
0500000US48291,48291,"Liberty County, Texas",52598,685,5197,1136,8332,1556,18794,2178,11855,1648,2829,1118,3662,1038,1929,680
0500000US48293,48293,"Limestone County, Texas",15527,1485,1318,424,1694,603,5317,1487,4283,776,1142,445,1133,371,640,306
0500000US48303,48303,"Lubbock County, Texas",175011,590,11005,1388,15177,2087,49699,3205,41898,2863,11204,1494,28318,2543,17710,1986
0500000US48309,48309,"McLennan County, Texas",148301,800,7969,1521,14560,2141,42199,3453,33407,2538,15558,1807,22328,2270,12280,1665
0500000US48321,48321,"Matagorda County, Texas",23295,744,2986,888,2040,860,8321,1488,5242,1258,1448,737,2222,840,1036,585
0500000US48323,48323,"Maverick County, Texas",32495,334,7032,1166,4041,1104,7733,1394,8203,1114,2739,904,2330,847,417,391
0500000US48325,48325,"Medina County, Texas",32095,907,2062,744,3921,1150,9885,1690,7403,1188,2187,821,4209,1243,2428,939
0500000US48329,48329,"Midland County, Texas",99671,610,5844,1274,8654,1994,25636,2597,25146,2891,8110,1446,18570,2271,7711,1485
0500000US48331,48331,"Milam County, Texas",16954,646,1590,648,1829,726,5073,1004,3955,733,1513,776,2344,791,650,388
0500000US48339,48339,"Montgomery County, Texas",347910,1431,21662,4108,26681,3364,81196,5549,72337,4997,27962,3788,74689,5259,43383,4351
0500000US48341,48341,"Moore County, Texas",12101,1563,3811,1132,913,565,2846,834,2849,730,812,517,670,276,200,180
0500000US48347,48347,"Nacogdoches County, Texas",37782,705,3358,875,3245,603,10548,1268,7690,1219,3645,837,5597,1051,3699,887
0500000US48349,48349,"Navarro County, Texas",31647,603,3271,625,4772,928,9319,1396,7289,1177,3151,883,2673,704,1172,489
0500000US48355,48355,"Nueces County, Texas",232449,771,19241,2420,26332,3029,65686,3940,53335,3332,20007,2683,31870,2673,15978,2115
0500000US48361,48361,"Orange County, Texas",55472,513,1366,569,4400,1307,22857,1767,12799,1869,5204,1033,6858,1364,1988,737
0500000US48363,48363,"Palo Pinto County, Texas",19003,860,1498,390,2271,663,6510,1084,4402,905,1166,478,2303,516,853,400
0500000US48365,48365,"Panola County, Texas",16062,1114,1207,473,1634,644,4689,879,4856,1118,891,455,1811,730,974,469
0500000US48367,48367,"Parker County, Texas",84438,837,4042,1320,7546,1567,24491,2473,20407,2283,5882,1492,15536,2265,6534,1322
0500000US48373,48373,"Polk County, Texas",33495,1079,1928,683,4456,1023,13602,1608,7222,1387,1712,603,3384,956,1191,450
0500000US48375,48375,"Potter County, Texas",76845,503,8202,1310,9767,1606,21383,1879,19722,1811,5717,1016,8809,1259,3245,795
0500000US48381,48381,"Randall County, Texas",85263,574,2257,764,5248,1405,18921,1782,23250,2103,8647,1451,18053,1763,8887,1584
0500000US48397,48397,"Rockwall County, Texas",58889,698,2533,1268,2554,830,12032,2088,15167,2101,3838,940,15918,2106,6847,1292
0500000US48401,48401,"Rusk County, Texas",36394,554,1997,668,5360,1240,11126,1590,10451,1465,2122,685,3498,870,1840,633
0500000US48407,48407,"San Jacinto County, Texas",20456,1380,2489,1073,1939,791,9917,1149,3930,1214,772,548,964,473,445,377
0500000US48409,48409,"San Patricio County, Texas",42289,389,3226,594,5293,1125,14558,1615,9542,1126,1927,624,5630,942,2113,643
0500000US48419,48419,"Shelby County, Texas",16153,1091,1213,543,2261,735,6352,908,2975,803,990,477,1623,583,739,464
0500000US48423,48423,"Smith County, Texas",144118,909,9129,1405,16362,2465,35630,2849,33587,2865,13988,2161,23792,2307,11630,1916
0500000US48427,48427,"Starr County, Texas",35458,*****,12865,1444,5499,1235,8379,1741,4195,1019,1534,666,2581,894,405,246
